Dataset,Model,Resampling,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,knn,bootstrap,8,5952,3174,2778,1983,1058,925,Description_Summary,200,525,416,533,509,0.557917109458023,0.511516314779271,0.534716712118647,0.557917109458023,0.507736943907157,0.531645569620253
Eclipse,knn,bootstrap,12,5952,3423,2529,1983,1140,843,Description_Summary,200,705,477,435,366,0.596446700507614,0.543071161048689,0.569758930778152,0.596446700507614,0.658263305322129,0.625832223701731
Eclipse,knn,bootstrap,16,5952,3665,2287,1983,1221,762,Description_Summary,200,813,464,408,298,0.63664839467502,0.577903682719547,0.607276038697283,0.63664839467502,0.731773177317732,0.680904522613065
Eclipse,knn,bootstrap,20,5952,3812,2140,1983,1270,713,Description_Summary,200,931,505,339,208,0.648328690807799,0.619744058500914,0.634036374654357,0.648328690807799,0.817383669885865,0.723106796116505
Eclipse,knn,bootstrap,24,5952,3977,1975,1983,1325,658,Description_Summary,200,1001,489,324,169,0.671812080536913,0.657200811359026,0.66450644594797,0.671812080536913,0.855555555555556,0.752631578947368
Eclipse,knn,bootstrap,28,5952,4095,1857,1983,1364,619,Description_Summary,200,1096,498,268,121,0.687578419071518,0.688946015424165,0.688262217247841,0.687578419071518,0.900575184880855,0.779793667733902
Eclipse,knn,bootstrap,32,5952,4204,1748,1983,1401,582,Description_Summary,200,1201,500,200,82,0.706055261610817,0.709219858156028,0.707637559883423,0.706055261610817,0.936087295401403,0.804959785522788
Eclipse,knn,bootstrap,64,5952,4740,1212,1983,1579,404,Description_Summary,200,1492,369,87,35,0.801719505642128,0.713114754098361,0.757417129870244,0.801719505642128,0.977079240340537,0.880755608028335
Eclipse,knn,bootstrap,96,5952,4998,954,1983,1666,317,Description_Summary,200,1625,305,41,12,0.841968911917098,0.773584905660377,0.807776908788738,0.841968911917098,0.992669517409896,0.911129800953182
Eclipse,knn,bootstrap,128,5952,5191,761,1983,1730,253,Description_Summary,200,1705,246,25,7,0.873910814966684,0.78125,0.827580407483342,0.873910814966684,0.995911214953271,0.930930930930931
Eclipse,knn,bootstrap,160,5952,5319,633,1983,1773,210,Description_Summary,200,1771,210,2,0,0.893992932862191,1,0.946996466431095,0.893992932862191,1,0.944029850746269
Eclipse,knn,bootstrap,192,5952,5406,546,1983,1802,181,Description_Summary,200,1802,181,0,0,0.908724155320222,NA,NA,0.908724155320222,1,0.95217965653897
Eclipse,knn,bootstrap,224,5952,5507,445,1983,1835,148,Description_Summary,200,1834,148,1,0,0.925327951564077,1,0.962663975782038,0.925327951564077,1,0.961215932914046
Eclipse,knn,bootstrap,256,5952,5571,381,1983,1856,127,Description_Summary,200,1855,127,1,0,0.935923309788093,1,0.967961654894046,0.935923309788093,1,0.966901224915298
Eclipse,knn,bootstrap,288,5952,5619,333,1983,1873,110,Description_Summary,200,1872,110,1,0,0.944500504540868,1,0.972250252270434,0.944500504540868,1,0.97145822522055
Eclipse,knn,bootstrap,320,5952,5667,285,1983,1888,95,Description_Summary,200,1888,95,0,0,0.952092788703984,NA,NA,0.952092788703984,1,0.975458537845518
