dataset,classifier,resampling,balancing,threshold,fixed_threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_term,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,boot,custom,40,64,4094,2047,2047,1364,682,682,short_long_description,200,223,209,459,473,0.5162037037037037,0.4924892703862661,0.504346487044985,0.5162037037037037,0.3204022988505747,0.3953900709219858
Eclipse,knn,boot,downsample,40,64,4094,2047,2047,1364,682,682,short_long_description,200,223,209,459,473,0.5162037037037037,0.4924892703862661,0.504346487044985,0.5162037037037037,0.3204022988505747,0.3953900709219858
Eclipse,knn,boot,smote,40,64,9737,5643,4094,3245,1881,1364,short_long_description,200,691,238,1190,1126,0.7438105489773951,0.5138169257340242,0.6288137373557097,0.7438105489773951,0.3802971931755641,0.5032774945375091
Eclipse,knn,boot,unbalanced,40,64,7690,5643,2047,2563,1881,682,short_long_description,200,1619,569,262,113,0.7399451553930531,0.6986666666666667,0.7193059110298599,0.7399451553930531,0.934757505773672,0.8260204081632653
Eclipse,knn,boot,custom,44,64,4094,2047,2047,1364,682,682,short_long_description,200,247,248,435,434,0.498989898989899,0.5005753739930955,0.49978263649149723,0.498989898989899,0.36270190895741555,0.4200680272108843
Eclipse,knn,boot,downsample,44,64,4094,2047,2047,1364,682,682,short_long_description,200,247,248,435,434,0.498989898989899,0.5005753739930955,0.49978263649149723,0.498989898989899,0.36270190895741555,0.4200680272108843
Eclipse,knn,boot,smote,44,64,9848,5754,4094,3282,1918,1364,short_long_description,200,705,233,1213,1131,0.7515991471215352,0.5174914675767918,0.6345453073491635,0.7515991471215352,0.3839869281045752,0.5082912761355443
Eclipse,knn,boot,unbalanced,44,64,7801,5754,2047,2600,1918,682,short_long_description,200,1683,593,235,89,0.7394551845342706,0.7253086419753086,0.7323819132547896,0.7394551845342706,0.9497742663656885,0.8315217391304347
Eclipse,knn,boot,custom,48,64,4094,2047,2047,1364,682,682,short_long_description,200,265,231,417,451,0.5342741935483871,0.4804147465437788,0.507344470046083,0.5342741935483871,0.37011173184357543,0.43729372937293726
Eclipse,knn,boot,downsample,48,64,4094,2047,2047,1364,682,682,short_long_description,200,265,231,417,451,0.5342741935483871,0.4804147465437788,0.507344470046083,0.5342741935483871,0.37011173184357543,0.43729372937293726
Eclipse,knn,boot,smote,48,64,9956,5862,4094,3317,1953,1364,short_long_description,200,710,245,1243,1119,0.743455497382199,0.5262489415749365,0.6348522194785677,0.743455497382199,0.38819026790595956,0.510057471264368
Eclipse,knn,boot,unbalanced,48,64,7909,5862,2047,2635,1953,682,short_long_description,200,1747,589,206,93,0.7478595890410958,0.6889632107023411,0.7184113998717185,0.7478595890410958,0.9494565217391304,0.8366858237547893
Eclipse,knn,boot,custom,52,64,4094,2047,2047,1364,682,682,short_long_description,200,250,222,432,460,0.5296610169491526,0.484304932735426,0.5069829748422893,0.5296610169491526,0.352112676056338,0.4230118443316413
Eclipse,knn,boot,downsample,52,64,4094,2047,2047,1364,682,682,short_long_description,200,250,222,432,460,0.5296610169491526,0.484304932735426,0.5069829748422893,0.5296610169491526,0.352112676056338,0.4230118443316413
Eclipse,knn,boot,smote,52,64,10031,5937,4094,3343,1979,1364,short_long_description,200,779,252,1200,1112,0.7555771096023278,0.5190311418685121,0.63730412573542,0.7555771096023278,0.4119513484928609,0.5331964407939767
Eclipse,knn,boot,unbalanced,52,64,7984,5937,2047,2661,1979,682,short_long_description,200,1750,592,229,90,0.7472245943637916,0.7178683385579937,0.7325464664608927,0.7472245943637916,0.9510869565217391,0.8369201339072214
Eclipse,knn,boot,custom,56,64,4094,2047,2047,1364,682,682,short_long_description,200,263,210,419,472,0.5560253699788583,0.4702581369248036,0.513141753451831,0.5560253699788583,0.3578231292517007,0.4354304635761589
Eclipse,knn,boot,downsample,56,64,4094,2047,2047,1364,682,682,short_long_description,200,263,210,419,472,0.5560253699788583,0.4702581369248036,0.513141753451831,0.5560253699788583,0.3578231292517007,0.4354304635761589
Eclipse,knn,boot,smote,56,64,10118,6024,4094,3371,2007,1364,short_long_description,200,765,226,1242,1138,0.7719475277497477,0.5218487394957984,0.646898133622773,0.7719475277497477,0.40199684708355227,0.5286800276434
Eclipse,knn,boot,unbalanced,56,64,8071,6024,2047,2689,2007,682,short_long_description,200,1782,604,225,78,0.7468566638725901,0.7425742574257426,0.7447154606491664,0.7468566638725901,0.9580645161290322,0.839378238341969
Eclipse,knn,boot,custom,60,64,4094,2047,2047,1364,682,682,short_long_description,200,249,225,433,457,0.5253164556962026,0.48651685393258426,0.5059166548143934,0.5253164556962026,0.3526912181303116,0.42203389830508475
Eclipse,knn,boot,downsample,60,64,4094,2047,2047,1364,682,682,short_long_description,200,249,225,433,457,0.5253164556962026,0.48651685393258426,0.5059166548143934,0.5253164556962026,0.3526912181303116,0.42203389830508475
Eclipse,knn,boot,smote,60,64,10185,6091,4094,3394,2030,1364,short_long_description,200,803,208,1227,1156,0.7942631058358062,0.5148971884179605,0.6545801471268833,0.7942631058358062,0.409903011740684,0.5407407407407407
